author_id,sterling_no,home_grown,diversity,total_topics,total_publications,no_of_paper_venues,total_active_year,h-index,total_cites
0229579C,0.04916271399382883,0.8029909952325376,0.061224489795918366,2,7,3,5,0.0,13
02299EFC,0.10760668831449742,0.9684601948304767,0.1111111111111111,2,3,3,1,0.0,0
0229B980,0.2015631920906173,0.8964259469447109,0.2345679012345679,3,9,4,6,0.0,69
022A82CD,0.14380244605706105,0.7669463789709923,0.1875,2,4,1,3,0.0,12
022B7D7D,0.01898619887050551,0.9666618608275328,0.01953125,3,16,7,10,0.0,95
022C69D5,0.18019340744752174,0.8771131512848883,0.2125,5,20,8,9,464.329,394
022EDD38,0.218426441906788,0.873705767627152,0.25,2,2,2,2,0.6667,1
02307507,0.24090707761946828,0.9660670120373467,0.25,3,8,4,4,0.0,8
0235C12F,0.0643988643278597,0.9655148573971383,0.06995884773662552,4,27,13,13,0.0,122
02370E25,0.058282246767972126,0.8403412345996474,0.06833910034602075,3,34,3,15,0.0,30
0238AC9F,0.07797703608917533,0.9357244330701039,0.08333333333333333,2,6,6,4,0.0,12
023ADE58,0.10488906160549127,0.8565940031115121,0.12244897959183673,2,7,5,4,0.0,5
023B5C39,0.11542814897600867,0.8878556890247099,0.13580246913580246,3,9,5,6,2.5833,0
0241FC7F,0.22009288930019943,0.8803715572007977,0.25,2,2,2,2,0.0,2
